Coletânea,UF,Participantes,Compradores,PorcentagemCompradores,LivrosVendidos,Total
Racismo. Até quando,RJ,3.0,3.0,1.0,8.0,385.28999999999996
Racismo. Até quando,RN,1.0,1.0,1.0,1.0,56.67
Racismo. Até quando,SC,1.0,1.0,1.0,1.0,55.8
Racismo. Até quando,SP,10.0,10.0,1.0,24.0,1068.56
Revisitando o Passado,BA,2.0,2.0,1.0,6.0,287.8
Revisitando o Passado,CE,1.0,1.0,1.0,1.0,59.6
Revisitando o Passado,DF,2.0,2.0,1.0,2.0,119.2
Revisitando o Passado,ES,2.0,2.0,1.0,2.0,119.2
Revisitando o Passado,GO,1.0,1.0,1.0,1.0,59.6
Revisitando o Passado,MG,5.0,5.0,1.0,6.0,341.75
Revisitando o Passado,MS,1.0,1.0,1.0,5.0,225.34
Revisitando o Passado,PB,2.0,2.0,1.0,2.0,119.2
Revisitando o Passado,RJ,3.0,3.0,1.0,5.0,267.16
Revisitando o Passado,RN,1.0,1.0,1.0,1.0,59.6
Revisitando o Passado,RO,1.0,1.0,1.0,1.0,59.6
Revisitando o Passado,RS,2.0,2.0,1.0,7.0,329.25
Revisitando o Passado,SC,3.0,3.0,1.0,10.0,475.62
Revisitando o Passado,SE,1.0,1.0,1.0,1.0,59.6
Revisitando o Passado,SP,11.0,11.0,1.0,21.0,1009.3
Revisitando o Passado,TO,1.0,1.0,1.0,4.0,189.87
Saudade Eterna,BA,1.0,1.0,1.0,3.0,146.77
Saudade Eterna,CE,1.0,1.0,1.0,2.0,107.21000000000001
Saudade Eterna,DF,2.0,2.0,1.0,2.0,116.0
Saudade Eterna,ES,2.0,2.0,1.0,5.0,241.9
Saudade Eterna,GO,2.0,2.0,1.0,4.0,203.34
Saudade Eterna,MA,1.0,1.0,1.0,1.0,58.010000000000005
Saudade Eterna,MG,6.0,6.0,1.0,8.0,433.98
Saudade Eterna,MS,1.0,1.0,1.0,4.0,183.91
Saudade Eterna,PB,1.0,1.0,1.0,1.0,58.0
Saudade Eterna,PR,5.0,5.0,1.0,10.0,504.69
Saudade Eterna,RJ,3.0,3.0,1.0,5.0,243.98000000000002
Saudade Eterna,RN,2.0,2.0,1.0,6.0,300.83
Saudade Eterna,RS,3.0,3.0,1.0,9.0,431.91999999999996
Saudade Eterna,SC,3.0,3.0,1.0,8.0,386.01
Saudade Eterna,SP,14.0,14.0,1.0,32.0,1506.1499999999999
Saudade Eterna,TO,1.0,1.0,1.0,1.0,58.05
Segredos,AL,1.0,1.0,1.0,1.0,57.010000000000005
Segredos,AM,1.0,1.0,1.0,1.0,118.64
Segredos,BA,4.0,4.0,1.0,8.0,401.54
Segredos,DF,3.0,3.0,1.0,24.0,1138.57
Segredos,ES,1.0,1.0,1.0,2.0,101.19
Segredos,MA,1.0,1.0,1.0,1.0,142.0
Segredos,MG,3.0,3.0,1.0,4.0,215.21
Segredos,PE,1.0,1.0,1.0,1.0,57.0
Segredos,PR,1.0,1.0,1.0,1.0,57.0
Segredos,RJ,6.0,6.0,1.0,16.0,779.47
Segredos,RN,1.0,1.0,1.0,1.0,57.0
Segredos,RS,1.0,1.0,1.0,3.0,142.34
Segredos,SC,1.0,1.0,1.0,10.0,426.27
Segredos,SP,16.0,16.0,1.0,32.0,1510.3799999999999
Simplesmente Amor,BA,4.0,4.0,1.0,9.0,444.66
Simplesmente Amor,CE,1.0,1.0,1.0,1.0,57.05
Simplesmente Amor,DF,2.0,2.0,1.0,6.0,275.98
Simplesmente Amor,ES,1.0,1.0,1.0,5.0,218.91
Simplesmente Amor,MA,2.0,2.0,1.0,2.0,114.25999999999999
Simplesmente Amor,MG,8.0,8.0,1.0,14.0,711.26
Simplesmente Amor,MT,2.0,2.0,1.0,2.0,177.32
Simplesmente Amor,PE,3.0,3.0,1.0,7.0,368.81
Simplesmente Amor,PR,4.0,4.0,1.0,12.0,866.52
Simplesmente Amor,RJ,4.0,4.0,1.0,6.0,329.28
Simplesmente Amor,RN,2.0,2.0,1.0,4.0,240.0
Simplesmente Amor,SC,2.0,2.0,1.0,4.0,199.5
Simplesmente Amor,SP,18.0,18.0,1.0,40.0,1814.56
Simplesmente Amor,TO,3.0,3.0,1.0,8.0,590.13
Simplesmente Amor,sp,1.0,1.0,1.0,3.0,136.25
Todas as Formas de Amor,BA,6.0,6.0,1.0,12.0,621.08
Todas as Formas de Amor,DF,1.0,1.0,1.0,2.0,101.77
Todas as Formas de Amor,ES,1.0,1.0,1.0,1.0,59.6
Todas as Formas de Amor,MG,7.0,7.0,1.0,13.0,674.8199999999999
Todas as Formas de Amor,MT,1.0,1.0,1.0,1.0,59.6
Todas as Formas de Amor,PR,3.0,3.0,1.0,11.0,517.1
Todas as Formas de Amor,RJ,8.0,8.0,1.0,11.0,689.19
Todas as Formas de Amor,RN,3.0,3.0,1.0,4.0,231.94
Todas as Formas de Amor,RO,1.0,1.0,1.0,1.0,59.6
Todas as Formas de Amor,RS,1.0,1.0,1.0,1.0,59.61
Todas as Formas de Amor,SE,2.0,2.0,1.0,2.0,119.22999999999999
Todas as Formas de Amor,SP,23.0,23.0,1.0,52.0,2432.15
Todas as Formas de Amor,TO,2.0,2.0,1.0,2.0,119.28
7ª Coletânea de Poemas-Sonetos-Cordéis,AC,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,AL,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,AP,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,AM,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,CE,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,MT,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,MS,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,PR,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,PI,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,RO,0.0,0.0,0.0,0.0,0.0
7ª Coletânea de Poemas-Sonetos-Cordéis,RR,0.0,0.0,0.0,0.0,0.0
A força da Amizade,AC,0.0,0.0,0.0,0.0,0.0
A força da Amizade,AL,0.0,0.0,0.0,0.0,0.0
A força da Amizade,AP,0.0,0.0,0.0,0.0,0.0
A força da Amizade,AM,0.0,0.0,0.0,0.0,0.0
A força da Amizade,BA,0.0,0.0,0.0,0.0,0.0
A força da Amizade,CE,0.0,0.0,0.0,0.0,0.0
A força da Amizade,GO,0.0,0.0,0.0,0.0,0.0
A força da Amizade,MA,0.0,0.0,0.0,0.0,0.0
A força da Amizade,MT,0.0,0.0,0.0,0.0,0.0
A força da Amizade,MS,0.0,0.0,0.0,0.0,0.0
A força da Amizade,PA,0.0,0.0,0.0,0.0,0.0
A força da Amizade,PB,0.0,0.0,0.0,0.0,0.0
A força da Amizade,PR,0.0,0.0,0.0,0.0,0.0
A força da Amizade,PI,0.0,0.0,0.0,0.0,0.0
A força da Amizade,RO,0.0,0.0,0.0,0.0,0.0
A força da Amizade,RR,0.0,0.0,0.0,0.0,0.0
A força da Amizade,SE,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,AC,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,AL,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,AP,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,AM,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,BA,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,CE,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,DF,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,ES,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,GO,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,MT,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,MS,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,PA,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,PB,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,PR,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,PE,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,PI,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,RN,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,RS,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,RO,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,RR,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,SC,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,SE,0.0,0.0,0.0,0.0,0.0
Aconteceu na Olimpíada,TO,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,AC,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,AL,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,AP,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,AM,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,CE,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,GO,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,MA,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,MT,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,MS,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,PA,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,PB,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,PR,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,PE,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,PI,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,RS,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,RO,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,RR,0.0,0.0,0.0,0.0,0.0
Aconteceu num Carnaval,SE,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,AC,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,AL,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,AP,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,AM,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,CE,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,GO,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,MS,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,PA,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,PI,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,RN,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,RS,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,RR,0.0,0.0,0.0,0.0,0.0
Carta para uma Mãe,SE,0.0,0.0,0.0,0.0,0.0
Centenario Millor,AC,0.0,0.0,0.0,0.0,0.0
Centenario Millor,AL,0.0,0.0,0.0,0.0,0.0
Centenario Millor,AM,0.0,0.0,0.0,0.0,0.0
Centenario Millor,BA,0.0,0.0,0.0,0.0,0.0
Centenario Millor,DF,0.0,0.0,0.0,0.0,0.0
Centenario Millor,ES,0.0,0.0,0.0,0.0,0.0
Centenario Millor,GO,0.0,0.0,0.0,0.0,0.0
Centenario Millor,MS,0.0,0.0,0.0,0.0,0.0
Centenario Millor,PA,0.0,0.0,0.0,0.0,0.0
Centenario Millor,PB,0.0,0.0,0.0,0.0,0.0
Centenario Millor,PE,0.0,0.0,0.0,0.0,0.0
Centenario Millor,PI,0.0,0.0,0.0,0.0,0.0
Centenario Millor,RO,0.0,0.0,0.0,0.0,0.0
Centenario Millor,RR,0.0,0.0,0.0,0.0,0.0
Centenario Millor,SE,0.0,0.0,0.0,0.0,0.0
Centenario Millor,TO,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,AC,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,AL,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,AP,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,AM,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,CE,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,DF,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,ES,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,GO,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,MA,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,MS,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,PA,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,PB,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,PR,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,PE,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,PI,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,RO,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,RR,0.0,0.0,0.0,0.0,0.0
Centenário do Dia da Criança,SE,0.0,0.0,0.0,0.0,0.0
Clima Extremo,AL,0.0,0.0,0.0,0.0,0.0
Clima Extremo,AP,0.0,0.0,0.0,0.0,0.0
Clima Extremo,AM,0.0,0.0,0.0,0.0,0.0
Clima Extremo,BA,0.0,0.0,0.0,0.0,0.0
Clima Extremo,CE,0.0,0.0,0.0,0.0,0.0
Clima Extremo,ES,0.0,0.0,0.0,0.0,0.0
Clima Extremo,GO,0.0,0.0,0.0,0.0,0.0
Clima Extremo,MA,0.0,0.0,0.0,0.0,0.0
Clima Extremo,MS,0.0,0.0,0.0,0.0,0.0
Clima Extremo,PA,0.0,0.0,0.0,0.0,0.0
Clima Extremo,PB,0.0,0.0,0.0,0.0,0.0
Clima Extremo,PE,0.0,0.0,0.0,0.0,0.0
Clima Extremo,PI,0.0,0.0,0.0,0.0,0.0
Clima Extremo,RO,0.0,0.0,0.0,0.0,0.0
Clima Extremo,RR,0.0,0.0,0.0,0.0,0.0
Clima Extremo,SE,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,AC,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,AL,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,AP,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,AM,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,CE,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,GO,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,MA,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,MT,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,MS,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,PA,0.0,0.0,0.0,0.0,0.0
