Cidade,UF,Latitude,Longitude
Altamira,PA,-6.477858375466201,-53.885979609378836
Anajás,PA,-0.8271183952190864,-49.96139547597855
Ananindeua,PA,-1.3340744785609522,-48.38354438281946
Anapu,PA,-3.9962506168344234,-51.301399546682255
Augusto Corrêa,PA,-1.1047072569392498,-46.5074154809138
Aurora do Pará,PA,-2.2311667326782145,-47.7263486978244
Aveiro,PA,-3.667117157941586,-56.01627171902394
Bagre,PA,-2.3730018655168412,-50.181797277823996
Baião,PA,-3.129731387756411,-49.698969172713475
Bannach,PA,-7.486329759135156,-50.63441526497225
Barcarena,PA,-1.4986090741686378,-48.634231274643035
Belém,PA,-1.2407089366917534,-48.4599103618659
Belterra,PA,-3.190943003479491,-54.992842716688365
Benevides,PA,-1.3396157273351652,-48.27562055948578
Bom Jesus do Tocantins,PA,-5.054216196706906,-48.7635106418813
Bonito,PA,-1.3873344371994636,-47.30227995731845
Bragança,PA,-1.1930692118388748,-46.763579890028545
Brasil Novo,PA,-3.2919138986248018,-52.68537172857274
Brejo Grande do Araguaia,PA,-5.735464407031964,-48.431867477279944
Breu Branco,PA,-3.733416249130418,-49.37121583000523
Breves,PA,-1.1208607048187966,-50.62815973823367
Bujaru,PA,-1.632964505241932,-48.089877946049285
Cachoeira do Piriá,PA,-1.9886457128278925,-46.44321295851451
Cachoeira do Arari,PA,-0.8694101531776888,-48.87724733391354
Cametá,PA,-2.253037313647373,-49.51356927533713
Canaã dos Carajás,PA,-6.424174195584983,-50.085690097697444
Capanema,PA,-1.1420795498736291,-47.11790024156275
Capitão Poço,PA,-2.0420804718154013,-47.23338097215963
Castanhal,PA,-1.2685077141800054,-47.87698276237424
Chaves,PA,-0.032400687408765554,-49.837891341521576
Colares,PA,-0.93584490584673,-48.27371857008872
Conceição do Araguaia,PA,-8.18223472224252,-49.51267138742027
Concórdia do Pará,PA,-1.8817109096763283,-47.97465607819229
Cumaru do Norte,PA,-8.45712626088205,-51.220851552482685
Curionópolis,PA,-6.228807452681769,-49.62461594590526
Curralinho,PA,-1.5834494212699306,-49.98803520492098
Curuá,PA,-1.8457126366776604,-55.113495521718335
Curuçá,PA,-0.7427403279701936,-47.86388324118001
Dom Eliseu,PA,-4.186506779715935,-47.898146543429114
Eldorado do Carajás,PA,-6.069587230109504,-49.24541449260364
Faro,PA,-1.1590213292232692,-57.80601283639386
Floresta do Araguaia,PA,-7.5482023824790145,-49.57599063725103
Garrafão do Norte,PA,-2.1682784876330623,-47.07597266060974
Goianésia do Pará,PA,-4.02710144158337,-49.005684504018475
Gurupá,PA,-1.149376022740832,-51.553902480259
Igarapé-Açu,PA,-1.1450148287700193,-47.5659867307553
Igarapé-Miri,PA,-2.0626792214377083,-49.130741153073174
Inhangapi,PA,-1.464675109515013,-47.922669198869215
Ipixuna do Pará,PA,-2.8056477558118127,-47.921453174238465
Irituia,PA,-1.811524822185081,-47.3998619402608
Itaituba,PA,-5.867559739394179,-56.496840227462044
Itupiranga,PA,-5.114759018393915,-49.86970677485899
Jacareacanga,PA,-7.44159343980659,-57.30344711401799
Jacundá,PA,-4.598500482161184,-49.18119761643577
Juruti,PA,-2.622721512267477,-56.221331340478834
Limoeiro do Ajuru,PA,-1.864263754437789,-49.46913357809025
Mãe do Rio,PA,-1.9910084138728839,-47.512783340697915
Magalhães Barata,PA,-0.8098506283222201,-47.63520989851324
Marabá,PA,-5.629678765273654,-50.01688252709499
Maracanã,PA,-0.8101299700828044,-47.497441434385955
Marapanim,PA,-0.8374045712753886,-47.70981323559469
Marituba,PA,-1.3974493985420022,-48.319789829683
Medicilândia,PA,-3.1601272864302734,-53.19501843093951
Melgaço,PA,-1.6076016005185194,-51.10385978002332
Mocajuba,PA,-2.576685343517349,-49.4663784350887
Moju,PA,-2.683649365348982,-49.07396789654836
Mojuí dos Campos,PA,-3.0703765187981777,-54.575154589479716
Monte Alegre,PA,-1.0741762320366168,-54.35308093114802
Muaná,PA,-1.3556509640146923,-49.30925328427752
Nova Esperança do Piriá,PA,-2.3925989368342084,-46.90001739618585
Nova Ipixuna,PA,-4.981019453597959,-49.23077588567112
Nova Timboteua,PA,-1.156437715667162,-47.39214699397159
Novo Progresso,PA,-8.059464367775671,-55.6121928564757
Novo Repartimento,PA,-4.502673861609524,-50.27158024099006
Óbidos,PA,-0.1696406832817751,-55.67488120673479
Oeiras do Pará,PA,-2.2788315726715265,-49.90233490142559
Oriximiná,PA,0.25491664982237244,-57.14987225514064
Ourém,PA,-1.4959172381134005,-47.13919565955774
Ourilândia do Norte,PA,-7.519910109529588,-51.430656876431925
Pacajá,PA,-3.6840180282802515,-50.63166750583819
Palestina do Pará,PA,-5.927226808361927,-48.37017733293385
Paragominas,PA,-3.2032869793684466,-47.60301675951369
Parauapebas,PA,-6.151667519771541,-50.489724296291236
Pau D'Arco,PA,-7.736946478888636,-50.12363952642938
Peixe-Boi,PA,-1.1307080939791125,-47.271982008397515
Piçarra,PA,-6.540988724693001,-49.01177614572096
Placas,PA,-3.8897006685086004,-54.500658895600566
Ponta de Pedras,PA,-1.1174834982832842,-49.077294777550456
Portel,PA,-2.5652263365152477,-50.955701509047685
Porto de Moz,PA,-2.1844934308456487,-52.54774705568695
Prainha,PA,-2.120034875173161,-53.66016159296451
Primavera,PA,-0.9526857184101933,-47.131474562442754
Quatipuru,PA,-0.8600872171337487,-47.015530396038585
Redenção,PA,-8.069241809322659,-50.19815577652962
Rio Maria,PA,-7.340556415072174,-49.895084664668175
Rondon do Pará,PA,-4.516847819333487,-48.46003952952993
Rurópolis,PA,-4.2409563189420325,-55.21071537804213
Salinópolis,PA,-0.6839537386249034,-47.35170210095465
Salvaterra,PA,-0.7966207545960488,-48.62998544708659
Santa Bárbara do Pará,PA,-1.1943345616785066,-48.25051689987851
Santa Cruz do Arari,PA,-0.5833475138362622,-49.31385931166435
Santa Izabel do Pará,PA,-1.365202167241987,-48.12930707321373
Santa Luzia do Pará,PA,-1.6565968086506153,-46.92692080260559
Santa Maria das Barreiras,PA,-8.63362120243485,-50.314396541063246
Santa Maria do Pará,PA,-1.3744832875699349,-47.52164208399155
Santana do Araguaia,PA,-9.36376429815395,-50.611261596159025
Santarém,PA,-2.679222348936499,-55.23840952035295
Santarém Novo,PA,-0.913343436558062,-47.33294666400118
Santo Antônio do Tauá,PA,-1.0932542636183917,-48.18276703841857
São Caetano de Odivelas,PA,-0.8649193857279421,-48.025733460813704
São Domingos do Araguaia,PA,-5.657571848129453,-48.73059727680085
São Domingos do Capim,PA,-1.88254738682943,-47.77148285080999
São Félix do Xingu,PA,-7.227284643990657,-52.252361181561575
São Francisco do Pará,PA,-1.2059967096887692,-47.74684483490666
São Geraldo do Araguaia,PA,-6.1892059864348274,-48.74822356254073
São João da Ponta,PA,-0.8704672317542892,-47.964466379647476
São João de Pirabas,PA,-0.7837991593471861,-47.21787289052417
São João do Araguaia,PA,-5.447313353456208,-48.69680397282185
São Miguel do Guamá,PA,-1.5515307386965442,-47.610772150324024
São Sebastião da Boa Vista,PA,-1.4340985370942672,-49.68029091944794
Sapucaia,PA,-6.838860672949896,-49.56976767708991
Senador José Porfírio,PA,-4.168971932012415,-51.77389836465083
Soure,PA,-0.4479145409048466,-48.69775090587794
Tailândia,PA,-2.907746433093851,-48.736692480634105
Terra Alta,PA,-1.0025926092747148,-47.84829436121533
Terra Santa,PA,-1.9514892029881188,-56.458428882002636
Tomé-Açu,PA,-2.636030320250697,-48.2676105183116
Tracuateua,PA,-1.0409560969920733,-46.938974862206656
Trairão,PA,-5.130056096955978,-56.003448573492825
Tucumã,PA,-6.820158638854456,-51.39137358182608
Tucuruí,PA,-3.856248261024534,-49.82112897056904
Ulianópolis,PA,-3.809799508326223,-47.49359811939186
Uruará,PA,-3.583459984665538,-53.807347506318706
Vigia,PA,-0.9334116382975117,-48.10492985465742
Viseu,PA,-1.5231101720403875,-46.45301437595858
Vitória do Xingu,PA,-3.135221321778757,-51.97399156174892
Xinguara,PA,-6.917668089165746,-49.63519550318899
Serra do Navio,AP,1.6516547860404232,-52.26812840771098
Amapá,AP,1.7467086774114584,-50.59253968078548
Pedra Branca do Amapari,AP,1.1575353323124924,-52.51953539294535
Calçoene,AP,2.4235878991040267,-51.40671984183229
Cutias,AP,1.0355666137762616,-50.48708449302601
Ferreira Gomes,AP,0.9570847048446716,-51.41733728746607
Itaubal,AP,0.5383842503453073,-50.64025079819589
Laranjal do Jari,AP,1.101024900234126,-53.310403975958636
Macapá,AP,0.5627246480325606,-50.69180232773759
Mazagão,AP,-0.06683216043704347,-51.951192830020965
Oiapoque,AP,3.1112742050576703,-51.898887346667344
Porto Grande,AP,0.5856221239927355,-51.66998311701535
Pracuúba,AP,1.6257989072861427,-51.27854127868979
Santana,AP,0.12980534124395463,-51.378365104230845
Tartarugalzinho,AP,1.2975590937786856,-50.99261330253654
Vitória do Jari,AP,-0.9964385996656392,-52.06117940791734
Abreulândia,TO,-9.478701494834414,-49.31132833267758
Aguiarnópolis,TO,-6.4885744917306845,-47.51337316003365
Aliança do Tocantins,TO,-11.331154420037585,-48.908296312057224
Almas,TO,-11.429199766137186,-47.21093743589069
Alvorada,TO,-12.407438043751785,-49.11178407298654
Ananás,TO,-6.2326499349684905,-48.18664572056098
Angico,TO,-6.43577941658362,-47.91316279183171
Aparecida do Rio Negro,TO,-9.986562596302047,-48.00003617593252
Aragominas,TO,-6.945451048458275,-48.63235796916546
Araguacema,TO,-8.938984176924015,-49.50550613262248
Araguaçu,TO,-12.839704481020085,-49.696398770987415
Araguaína,TO,-7.331260347834574,-48.587777678579144
Araguanã,TO,-6.790935148662571,-48.524552816008956
Araguatins,TO,-5.6657543792431815,-48.10484317681647
Arapoema,TO,-7.7233965693478375,-48.99983149760573
Arraias,TO,-12.816910162862373,-47.04771070787473
Augustinópolis,TO,-5.497806291264129,-47.92815777827937
Aurora do Tocantins,TO,-12.646618239679144,-46.43288332217591
Axixá do Tocantins,TO,-5.649394692163937,-47.76610852736114
Babaçulândia,TO,-7.174498906418716,-47.85682269185884
Bandeirantes do Tocantins,TO,-7.90290535270532,-48.67554011995135
Barra do Ouro,TO,-7.7176961095437,-47.57860443061033
Barrolândia,TO,-9.86575291590247,-48.79118815210665
Bernardo Sayão,TO,-7.983459411771506,-48.96912183976039
Bom Jesus do Tocantins,TO,-9.012387071861085,-47.879232440940726
Brasilândia do Tocantins,TO,-8.289886360133591,-48.44278782087438
Brejinho de Nazaré,TO,-11.02915705114152,-48.62413188964743
Buriti do Tocantins,TO,-5.337664532380179,-48.136314580886506
Cachoeirinha,TO,-6.090004206730844,-47.84133360378102
Campos Lindos,TO,-8.203715369062461,-46.804552369103895
Cariri do Tocantins,TO,-11.932957657463486,-49.20277956602851
Carmolândia,TO,-7.045110374879554,-48.3745414389735
Carrasco Bonito,TO,-5.33716861073587,-48.00992585185068
Caseara,TO,-9.401567864111719,-49.84856588195908
Centenário,TO,-9.073721940486356,-47.444762444801064
Chapada de Areia,TO,-10.165667071884528,-49.195704375466185
Chapada da Natividade,TO,-11.540994378518091,-47.84641009435167
Colinas do Tocantins,TO,-8.076397261833462,-48.5301136858805
Combinado,TO,-12.846272391340333,-46.50375358086713
Conceição do Tocantins,TO,-12.17090086071343,-47.30365645578289
Couto Magalhães,TO,-8.436694795605137,-49.16243590334141
Cristalândia,TO,-10.636342435045087,-49.312429538956934
Crixás do Tocantins,TO,-11.171854525356569,-49.07274817938392
Darcinópolis,TO,-6.763377659123791,-47.76790102966744
Dianópolis,TO,-11.694641851331262,-46.79569124941002
Divinópolis do Tocantins,TO,-9.69500797327127,-49.354827906840974
Dois Irmãos do Tocantins,TO,-9.270810857594194,-49.06696469485621
Dueré,TO,-11.427081221133157,-49.39134804239545
Esperantina,TO,-5.326284459319845,-48.54031680671284
Fátima,TO,-10.809741774507838,-48.87232772187785
Figueirópolis,TO,-12.26338910418329,-49.28273730308369
Filadélfia,TO,-7.496637000299071,-47.7937359296533
Formoso do Araguaia,TO,-11.957745997486379,-50.097928876733704
Tabocão,TO,-9.071410403027329,-48.546014401079134
Goianorte,TO,-8.873148297554186,-49.011218130706965
Goiatins,TO,-8.094003967290362,-47.48154121678422
Guaraí,TO,-8.73006669791756,-48.42504019093178
Gurupi,TO,-11.651496136419958,-48.88731036560912
Ipueiras,TO,-11.135043988493056,-48.40353529823741
Itacajá,TO,-8.571462650921802,-47.669347372496
Itaguatins,TO,-5.802715617968444,-47.59507129051067
Itapiratins,TO,-8.3161793650638,-48.033308941575264
Itaporã do Tocantins,TO,-8.451161367562516,-48.752607164998835
Jaú do Tocantins,TO,-12.747500112150602,-48.645498011578745
Juarina,TO,-8.140795072162211,-49.110332720871824
Lagoa da Confusão,TO,-11.034623890157489,-50.16061550281948
Lagoa do Tocantins,TO,-10.341827424823048,-47.48115057723391
Lajeado,TO,-9.850541697810307,-48.29095634686874
Lavandeira,TO,-12.81258698862835,-46.41048256236672
Lizarda,TO,-9.524483679610741,-46.93901451760974
Luzinópolis,TO,-6.206016356852698,-47.83074350755345
Marianópolis do Tocantins,TO,-9.78752813552344,-49.70004649887133
Mateiros,TO,-10.58268208731673,-46.5025645639983
Maurilândia do Tocantins,TO,-6.023163369133144,-47.589937516016214
Miracema do Tocantins,TO,-9.754017409354919,-48.551461748310324
Miranorte,TO,-9.416287698935237,-48.683758559416994
Monte do Carmo,TO,-10.74740684334943,-48.017211203591714
Monte Santo do Tocantins,TO,-9.999458519739793,-49.06727722325396
Palmeiras do Tocantins,TO,-6.6002204264184385,-47.64269298507346
Muricilândia,TO,-7.00329055778763,-48.78653628700605
Natividade,TO,-11.798071292138312,-47.648799069069334
Nazaré,TO,-6.330334032575283,-47.78145797677617
Nova Olinda,TO,-7.637848943724085,-48.360750248795725
Nova Rosalândia,TO,-10.549989289623909,-48.973333524157425
Novo Acordo,TO,-10.15491884175523,-47.3830564397852
Novo Alegre,TO,-12.914252180403505,-46.559631683289275
Novo Jardim,TO,-11.778956447758588,-46.57032491940701
Oliveira de Fátima,TO,-10.67448031496399,-48.87580290705129
Palmeirante,TO,-7.885870940377111,-48.15626054792163
Palmeirópolis,TO,-13.01970928250278,-48.34877792994418
Paraíso do Tocantins,TO,-10.218180649536738,-48.82727157763627
Paranã,TO,-12.695900596351176,-47.81350459251122
Pau D'Arco,TO,-7.544920273782724,-48.988364183032935
Pedro Afonso,TO,-9.226870199779208,-48.0342113517309
Peixe,TO,-11.996372719058936,-48.55520810102117
Pequizeiro,TO,-8.379688707950267,-48.91713811794398
Colméia,TO,-8.837346904795425,-48.748652880077
Pindorama do Tocantins,TO,-11.15966583724799,-47.558846946774494
Piraquê,TO,-6.738576309614741,-48.239450729815026
Pium,TO,-10.209215791325338,-49.871917247060104
Ponte Alta do Bom Jesus,TO,-12.057464943954347,-46.593203849607406
Ponte Alta do Tocantins,TO,-10.749341941349762,-47.32462077017436
Porto Alegre do Tocantins,TO,-11.510779746042298,-47.046712059260464
Porto Nacional,TO,-10.543420187801676,-48.4965208836723
Praia Norte,TO,-5.474832599516153,-47.781930956489106
Presidente Kennedy,TO,-8.46186863988735,-48.4615907687316
Pugmil,TO,-10.422500069279035,-48.88236090050323
Recursolândia,TO,-8.69729384437764,-47.11310828194785
Riachinho,TO,-6.459923808096091,-48.136214790771156
Rio da Conceição,TO,-11.336969193425032,-46.73765223748652
Rio dos Bois,TO,-9.235861849510957,-48.452502803273084
Rio Sono,TO,-9.647222846014676,-47.49601052413103
Sampaio,TO,-5.329642042351064,-47.918820626523285
Sandolândia,TO,-12.40085270604218,-49.87614961848472
Santa Fé do Araguaia,TO,-7.093077972309584,-48.97499458524162
Santa Maria do Tocantins,TO,-8.824659453341136,-47.84831656026534
Santa Rita do Tocantins,TO,-10.969924636610397,-49.29502158537751
Santa Rosa do Tocantins,TO,-11.397267252236272,-48.10835951799935
Santa Tereza do Tocantins,TO,-10.298938569597182,-47.741534888031396
Santa Terezinha do Tocantins,TO,-6.472648998007149,-47.75109989366344
São Bento do Tocantins,TO,-5.975983557662531,-47.93984801552036
São Félix do Tocantins,TO,-10.068570521746619,-46.67792017914201
São Miguel do Tocantins,TO,-5.543419664494202,-47.59777466580158
São Salvador do Tocantins,TO,-12.577434018047382,-48.36414077776734
